Date,Latitude,Longitude,Accident_Severity,Random_column
2022-08-01,48.8650923719,2.3473825093,Low,2
2022-01-15,50.9969985479,2.3576090671,High,2
2022-04-01,48.8702786833,2.3359286401,High,2
2022-05-01,50.3752325341,3.4993127197,Low,3
2022-06-01,48.7670159341,2.2770084761,Medium,3
2022-02-01,48.8711468302,2.3320681309,Medium,3
,43.8351160417,4.3585490034,Low,2
2022-04-01,47.1572147699,,Medium,2
2022-04-01,48.7874594371,2.3863989137,Low,4
2022-04-01,50.6667770099,3.0508107022,High,5
,50.6667770099,3.0508107022,Medium,5
2022-04-01,50.6667770099,3.0508107022,Low,4
2022-04-01,50.6622176624,3.0506691863,Low,2
2022-04-01,50.6622176624,3.0506691863,Medium,2
2022-04-01,50.6622176624,3.0506691863,Low,2
2022-04-01,50.6281966892,3.068807418,Medium,1
2022-04-01,50.6281966892,3.068807418,Medium,3
2022-04-01,50.6281966892,3.068807418,Medium,1
2022-01-01,45.5620940246,5.9032572894,Medium,3
2022-01-01,45.5620940246,5.9032572894,Medium,5
2022-01-01,45.5620940246,5.9032572894,High,3
2022-01-01,45.5620940246,5.9032572894,Low,2
2022-04-01,51.0161007674,2.3027220539,Low,2
2022-04-01,51.0161007674,2.3027220539,High,4
2022-04-01,43.3295325504,5.3833778614,Medium,5
2022-06-01,48.900565557,2.3585543301,High,4
2022-04-01,48.8631477948,2.2107113186,High,4
2022-06-01,46.6504665527,0.3747266081,Low,3
2022-01-15,48.8111525438,2.502056477,Low,5
2022-05-01,48.9802391832,1.6722764894,Low,3
2022-04-01,,0.74126692,High,1
2022-04-01,45.1797448432,0.74126692,Medium,2
2022-04-01,45.1797448432,0.74126692,Low,3
2022-04-01,45.1797448432,0.74126692,Low,5
2022-04-01,45.1840667679,0.7231968919,Low,2
2022-04-01,45.1840667679,0.7231968919,Medium,1
2022-04-01,45.1840667679,0.7231968919,Medium,4
2022-04-01,45.1840667679,0.7231968919,Low,5
2022-04-01,45.1861757962,0.7161281445,Low,4
2022-04-01,45.1861757962,0.7161281445,Low,3
2022-04-01,45.1861757962,0.7161281445,Low,3
2022-04-01,45.1861757962,0.7161281445,Low,5
2022-04-01,45.200685687,0.6973302518,High,3
2022-04-01,45.200685687,0.6973302518,High,1
2022-04-01,45.200685687,0.6973302518,Low,2
2022-04-01,45.200685687,0.6973302518,High,5
2022-05-01,50.4259172246,3.0283616419,Medium,4
2022-05-01,47.4468517338,-0.5290771845,Low,4
2022-01-01,48.8611459027,2.3536129972,Medium,5
2022-06-01,45.7435593988,4.2229789362,Low,2
2022-05-01,43.6077200606,2.2453503803,Low,2
2022-01-15,48.0086034145,0.1969292718,Medium,5
2022-06-01,45.7343072384,4.8300021157,Medium,3
2022-05-01,48.4095859823,-4.4973624192,Medium,3
2022-06-01,42.6877104092,2.8995434641,Low,1
2022-04-01,48.5840373683,7.7442727794,High,1
2022-06-01,45.8461592691,1.2430633852,Low,3
2022-01-15,48.811400498,2.3867420042,Medium,3
2022-01-01,49.0467916154,2.0604415779,High,4
2022-06-01,43.6519051329,1.4415772405,Medium,4
2022-01-15,45.751909592,4.8452439389,High,2
2022-01-14,45.1726256601,5.7093307569,Low,5
2022-01-14,45.1726256601,5.7093307569,Low,5
2022-06-01,48.1103284092,5.1359999835,Low,2
2022-05-01,43.9326935005,4.8261790767,High,1
2022-05-01,43.9326935005,4.8261790767,High,4
2022-01-14,45.7563799691,4.7973690439,Low,2
2022-01-14,45.7563799691,4.7973690439,Low,1
2022-01-14,45.7563799691,4.7973690439,Low,5
2022-01-14,45.7563799691,4.7973690439,High,1
2022-05-01,46.7902863338,4.8533018164,High,1
2022-01-15,45.7594360797,4.8548923082,High,3
,48.2957243275,4.1294339442,Low,2
2022-06-01,48.7287792213,2.4476566275,Medium,4
2022-01-13,16.2510078877,-61.5275695382,Medium,2
2022-04-01,43.64792552,1.4422649326,High,1
,48.5395773724,2.6641265271,Medium,1
2022-05-01,48.9382479346,2.4633771599,High,2
2022-06-01,45.0385450172,3.8880180206,Medium,4
2022-05-01,48.7018486679,2.3138173157,Low,3
2022-01-01,48.8317264721,2.3754176906,Medium,5
2022-05-01,48.5648377469,2.6114596415,Low,1
2022-07-01,43.6570187266,6.9203956493,High,4
2022-06-01,45.821127527,5.8474096659,Medium,5
2022-06-01,49.9271499045,1.0793776909,High,2
2022-01-15,48.7583059077,3.0500892988,High,5
2022-03-01,49.3260244541,6.0579940071,Low,5
2022-06-01,48.8479374008,2.4403182248,High,3
2022-01-15,48.5845182703,7.6955037984,Medium,1
2022-04-01,45.7532310008,4.841719948,Medium,1
2022-04-01,45.7532310008,4.841719948,Low,1
2022-04-01,45.745216597,4.8419230137,Low,5
2022-04-01,45.745216597,4.8419230137,Low,2
2022-06-01,49.0662765162,6.3097074028,Low,3
2022-05-01,47.6199275322,6.1547961444,Low,1
2022-05-01,47.7412285513,7.3336445783,Medium,3
2022-05-01,47.7412285513,7.3336445783,Medium,4
2022-06-01,46.0444598716,6.6308490595,High,2
2022-01-15,43.2674117275,5.3978541942,Medium,1
2022-05-01,42.6998962947,9.4498774257,High,1
2022-06-01,48.8589075205,2.3522064298,Low,5
2022-05-01,50.738389556,3.080286653,Medium,4
2022-02-01,43.4133182387,5.2515036372,Medium,3
2022-02-01,43.4133182387,5.2515036372,Low,2
2022-06-01,43.7211445916,7.2608243435,Low,4
2022-06-01,43.7211445916,7.2608243435,Medium,4
2022-06-01,43.7208624623,7.2603489882,High,1
2022-06-01,43.7208624623,7.2603489882,Medium,4
2022-05-01,50.6914298362,3.173176293,Low,3
2022-05-01,43.6857950464,7.2020018896,Medium,2
2022-03-01,43.1524046377,6.409822646,Low,1
2022-05-01,48.9295477123,2.2110475906,High,2
2022-04-01,47.7359790058,-3.4276304149,Low,3
,48.095097352,-1.6966656191,Medium,1
2022-04-01,48.095097352,-1.6966656191,Low,1
2022-05-01,48.5258265211,2.6845191521,Medium,2
2022-02-01,48.877784277,2.3163485454,Low,3
2022-02-01,48.877784277,2.3163485454,Low,1
2022-05-01,47.0673036366,-0.8700378225,High,2
2022-05-01,48.7285753914,2.2583146733,Low,1
2022-01-15,48.930123707,2.2560528788,High,1
2022-06-01,44.8366998406,-0.5810700578,High,4
2022-03-01,49.0519865563,2.1006551152,Low,2
2022-04-01,43.6086045551,3.8370659912,Medium,2
2022-06-01,47.9984480559,2.7330668399,Low,3
2022-06-01,42.699520499,2.88306288,Medium,1
2022-05-01,46.1704978037,1.8700256805,Low,2
2022-05-01,46.1704978037,1.8700256805,Medium,3
2022-05-01,48.838812368,2.5581327006,Medium,3
2022-01-14,48.5850399888,7.7364166403,Medium,2
2022-01-14,48.5850399888,7.7364166403,Low,3
2022-01-15,43.774738641,7.5049064767,Medium,3
2022-01-15,43.774738641,7.5049064767,High,1
2022-01-15,50.2787270161,3.9738743781,High,1
2022-02-01,48.8466233292,2.5698280941,Low,4
2022-01-14,-22.2721509346,166.4268069252,Medium,3
2022-01-14,-22.2721509346,166.4268069252,Medium,5
2022-05-01,48.003328786,-2.1027242075,Low,2
2022-05-01,44.180156716,0.6800279613,Low,4
2022-05-01,44.180156716,,Low,1
2022-05-01,44.180156716,0.6800279613,Low,2
2022-05-01,44.180156716,0.6800279613,Medium,4
2022-04-01,48.6770478931,2.3458713154,Medium,1
2022-05-01,42.6993304969,2.8813819564,High,2
2022-05-01,42.6993304969,2.8813819564,Medium,5
2022-05-01,42.6993304969,2.8813819564,Low,1
2022-05-01,42.6993304969,2.8813819564,Medium,1
2022-06-01,48.9895694387,1.714928366,Low,1
2022-06-01,45.7629127991,4.8357088803,Low,4
2022-05-01,48.8534053257,2.4016808666,Medium,5
2022-08-01,43.4927163823,-1.4787003631,Low,2
2022-05-01,48.86200639,2.2001232223,High,4
2022-05-01,48.86200639,2.2001232223,Low,4
2022-05-01,48.86200639,2.2001232223,Medium,4
2022-05-01,48.86200639,2.2001232223,High,5
2022-06-01,51.0025180901,2.104231498,Low,1
2022-01-15,48.0250670733,-3.8252022282,Low,4
2022-08-01,48.9508632707,2.3211005682,Low,1
2022-06-01,46.6592724256,-1.4220578522,Low,4
2022-06-01,46.6592724256,-1.4220578522,Low,4
2022-06-01,46.6595177814,-1.4224957403,Low,4
,46.6595177814,-1.4224957403,Medium,1
2022-05-01,-17.5293296861,-149.5745642528,Medium,2
2022-06-01,43.7002469304,7.2777361822,Medium,4
2022-05-01,49.5771058091,3.6393368499,Medium,4
2022-05-01,48.9966159787,2.1129700962,Low,2
2022-01-15,48.6049090603,2.3055789202,High,4
2022-05-01,48.8653185115,2.2751176259,Low,1
2022-06-01,44.7906913603,-0.6222023881,High,5
2022-06-01,48.5831158396,-3.8442815331,Medium,1
2022-03-01,44.570980875,2.2543010986,Low,2
2022-05-01,45.7509706293,4.8406314414,Low,3
2022-05-01,48.5894737741,7.7370273507,Low,4
2022-05-01,-22.2320331448,166.4703273362,Medium,2
2022-01-13,-22.2697164552,166.4409470357,Medium,3
2022-05-01,45.9928326956,4.7183147834,Low,1
,45.9928326956,4.7183147834,Medium,3
2022-01-01,49.0476492727,3.3876035306,High,5
2022-05-01,45.7142879988,4.8066978152,Low,1
2022-05-01,45.7142879988,,Medium,1
2022-05-01,45.7142879988,4.8066978152,Low,2
2022-05-01,45.7142879988,4.8066978152,High,2
2022-05-01,45.7135919993,4.8039758527,Medium,4
,45.7135919993,4.8039758527,Low,5
2022-04-01,48.654265833,2.3955500219,High,3
2022-01-01,48.5503595328,2.6571291645,Medium,3
2022-01-14,48.7337601409,2.2943547275,High,2
2022-01-01,43.6049101164,1.4453872597,Low,3
2022-04-01,49.4935870335,0.1009687062,Medium,1
2022-04-01,49.4935870335,0.1009687062,High,5
2022-04-01,49.4935870335,0.1009687062,High,2
2022-04-01,49.4935870335,0.1009687062,Low,5
2022-01-01,47.8314746164,1.9291307876,High,4
2022-05-01,16.2408872179,-61.5352795681,Low,3
2022-05-01,16.2408872179,-61.5352795681,Medium,2
2022-05-01,16.236598148,-61.5272904189,Medium,2
2022-05-01,16.236598148,-61.5272904189,Medium,1
2022-05-01,16.236598148,-61.5272904189,Low,2
2022-05-01,16.236598148,-61.5272904189,Medium,4
2022-01-01,49.0996118418,6.1743420894,High,3
2022-05-01,45.9584196958,5.3582895479,Medium,5
2022-05-01,43.304049671,-0.3565798233,Low,3
2022-01-15,43.3880747081,5.3521127765,Medium,1
2022-06-01,47.3729504317,0.6928359081,Low,5
2022-01-13,48.585993289,7.7630033673,Low,1
2022-04-01,,5.5934717904,Low,2
2022-06-01,45.8787985314,3.1203275091,Medium,3
2022-05-01,-20.9623509792,55.3186209766,Low,3
2022-04-01,48.8435883157,2.4625976455,Medium,5
2022-03-01,50.7392159917,2.7339884671,High,1
2022-03-01,50.7392159917,2.7339884671,Medium,5
2022-03-01,50.7392159917,2.7339884671,Low,5
2022-03-01,50.7392159917,2.7339884671,Low,5
2022-01-15,50.6784827637,3.1357295172,High,1
2022-11-01,48.9399270481,2.3554679434,High,1
2022-03-01,43.2738173264,5.4140510504,Medium,4
2022-06-01,47.9014262374,1.904978285,Medium,1
2022-04-01,46.505242347,-1.7850662372,Low,5
2022-05-01,48.7669010098,1.9715471063,High,5
2022-05-01,48.7669010098,1.9715471063,Low,5
2022-05-01,46.1765276303,-1.1100404225,Low,1
2022-06-01,48.8655783829,2.5357671652,Low,1
2022-06-01,48.2711285626,3.9726468081,High,5
2022-05-01,48.746277158,2.2659965451,Medium,3
2022-11-01,48.8664502386,2.3415989351,Low,5
2022-02-01,43.6057866298,1.4486256928,Medium,5
2022-02-01,43.6057866298,1.4486256928,Low,2
2022-02-01,43.6057866298,1.4486256928,Low,2
2022-02-01,43.6057866298,1.4486256928,Low,5
2022-03-01,48.9488338857,2.5126655006,Medium,3
2022-06-01,48.812287134,2.3617772199,Low,3
2022-06-01,,2.2450587322,Low,5
2022-05-01,48.8683171555,2.371227792,Low,4
2022-06-01,48.10667465,5.1323585532,Low,5
2022-03-01,44.414201954,0.7173593105,Low,4
2022-01-15,48.8687025453,2.3732842636,Low,2
2022-04-01,48.8335863443,2.3993357046,Low,5
2022-01-15,50.3534695643,3.1257060004,Low,4
2022-01-15,48.8667397368,2.4842549239,Medium,4
2022-05-01,44.9304462046,4.8892375383,Low,1
2022-01-15,45.7594360797,4.8548923082,Low,5
2022-07-01,43.8895720585,-0.4533210835,Medium,2
2022-06-01,48.8587329874,2.3785562199,High,5
2022-08-01,48.8641772963,2.3057664634,Low,1
2022-06-01,48.9545130301,2.2936827923,High,3
2022-01-15,43.6048133553,2.2412144684,Low,4
2022-01-15,43.1372696205,6.0066538988,Low,2
2022-01-14,43.3206913525,5.3920748358,Medium,4
2022-01-15,43.2919884207,5.4021706836,Medium,5
2022-01-15,45.7027073192,4.867917454,Low,4
2022-01-15,43.3025079055,5.3814353191,Medium,1
2022-01-15,43.603604019,1.4456672199,Low,2
2022-04-01,46.9499564599,1.9910963447,Low,4
2022-03-01,48.8152169148,2.3757256967,Low,4
2022-01-14,48.8758754092,2.4952084008,Medium,1
2022-01-14,48.8758754092,2.4952084008,Low,2
2022-01-14,48.8758754092,2.4952084008,Medium,2
2022-01-14,48.8758754092,2.4952084008,Low,5
2022-01-14,48.8758754092,2.4952084008,High,1
2022-01-14,48.8758754092,2.4952084008,Medium,5
2022-01-14,48.8758754092,2.4952084008,Low,3
2022-01-14,48.8758754092,2.4952084008,Low,4
2022-01-14,48.8758754092,2.4952084008,Low,1
2022-01-14,48.8758754092,2.4952084008,Low,4
2022-01-14,48.8758754092,2.4952084008,Low,4
2022-01-14,48.8758754092,2.4952084008,Medium,3
2022-01-14,48.8758754092,2.4952084008,Low,2
2022-01-14,48.8758754092,2.4952084008,High,4
2022-01-14,48.8758754092,2.4952084008,Medium,5
2022-01-14,48.8758754092,2.4952084008,Low,5
2022-01-15,48.8860386719,2.3345524316,Medium,1
2022-01-15,45.754617697,4.8392027498,Low,4
2022-01-15,50.6329977149,3.0570102642,Low,2
2022-01-15,44.6212036553,-1.1491912011,Low,5
2022-05-01,48.8843698011,2.2693498836,Low,3
,49.1414306246,6.7954633687,High,4
2022-01-01,49.1414306246,6.7954633687,High,4
,49.1438965671,6.791839596,Low,1
2022-01-01,49.1438965671,6.791839596,Low,4
2022-01-01,49.1047953648,7.0513102058,Medium,4
2022-06-01,43.6579097585,7.1417821525,Low,2
2022-06-01,43.6579097585,7.1417821525,Medium,4
2022-06-01,46.2064981356,5.2405467115,High,1
2022-01-15,50.444399124,2.9047967134,Medium,4
2022-01-15,48.8327630032,2.3247427089,Medium,4
2022-10-01,48.9357689084,2.3400772013,Low,3
2022-06-01,48.8352466372,2.2407275169,Low,5
2022-03-01,48.5609429393,7.7131897658,Low,4
2022-05-01,49.5645229945,3.6477500468,Medium,5
2022-01-14,48.8692266958,2.3557696877,Low,3
2022-01-15,45.6942285442,4.9356088012,Low,4
2022-01-15,45.6942285442,4.9356088012,High,2
2022-01-15,45.6942285442,4.9356088012,Medium,1
2022-01-15,45.6942285442,4.9356088012,Medium,3
2022-01-15,45.6942285442,4.9356088012,High,4
2022-01-15,45.6942285442,4.9356088012,Medium,4
2022-10-01,47.2178935848,5.9701078389,Low,3
2022-10-01,47.2178935848,5.9701078389,Low,1
2022-10-01,47.215663529,5.9780319977,Medium,4
2022-10-01,47.215663529,5.9780319977,Low,4
2022-06-01,48.8121497069,2.3569866812,Low,1
2022-01-14,43.3024934582,5.3693598794,Medium,5
2022-01-15,43.5924541449,1.4740427129,Low,2
2022-01-15,43.1268189171,5.97373362,Low,2
2022-01-15,43.2906809824,5.3804345627,Low,3
2022-01-15,43.7002469304,7.2777361822,Low,3
2022-05-01,43.8734256615,4.3859105422,Low,5
2022-01-15,43.7716683707,7.4925997774,Medium,5
2022-01-15,43.7716683707,7.4925997774,Low,5
2022-01-15,49.1147121661,6.1822525633,High,1
2022-01-13,44.0082179134,1.3628855485,Medium,2
2022-01-13,44.0082179134,1.3628855485,Medium,3
2022-01-01,43.7076585559,7.2657905353,Medium,1
2022-01-15,,-149.5518876407,Low,1
2022-01-15,-17.5327042114,-149.5518876407,Medium,4
2022-01-15,50.458642099,2.9456680095,Medium,5
2022-01-15,48.884323953,2.3507685638,Medium,3
2022-01-15,48.884323953,2.3507685638,Low,4
2022-01-15,48.884323953,2.3507685638,Medium,1
2022-01-15,48.884323953,2.3507685638,Medium,2
2022-03-01,49.3468760689,0.1072065437,High,4
2022-06-01,47.3725986314,0.6829845492,Low,2
2022-03-01,50.9526846286,1.8938286089,Medium,4
2022-02-01,48.8903084661,2.3791409694,Medium,4
2022-04-01,48.6403679107,2.2728373557,Low,1
2022-04-01,43.316542968,5.4055876644,Medium,4
2022-03-01,48.6484996122,-2.0079239269,Low,2
2022-01-15,43.511907229,4.9819884741,Low,4
2022-01-15,43.4180775575,5.2141998375,Low,1
2022-12-01,48.2730460368,4.0775557561,Low,1
2022-01-15,43.8222460445,4.3556347833,High,1
2022-01-15,43.8222460445,4.3556347833,High,5
2022-01-15,43.8222460445,4.3556347833,Low,3
2022-01-15,43.8222460445,4.3556347833,Low,3
2022-04-01,43.6337558399,3.8179221719,Medium,1
2022-04-01,43.6337558399,3.8179221719,High,3
2022-01-15,43.7002469304,7.2777361822,Low,2
2022-05-01,46.1699968622,6.194125014,Medium,5
2022-05-01,47.4735052005,-0.5423133522,Medium,3
2022-06-01,14.606227724,-61.06267951,Medium,2
2022-07-01,50.7240647407,3.1902994353,High,1
2022-06-01,43.5780836278,7.0510540509,Low,1
2022-03-01,43.2662399229,5.4140550688,High,1
2022-05-01,43.217187928,0.0533028788,High,2
2022-04-01,48.0083176884,0.197436683,Low,1
2022-01-15,48.6536298237,2.3932373522,High,3
2022-01-15,43.3050895208,5.4164299473,Low,3
2022-01-15,48.7078370815,2.388629216,Low,5
2022-06-01,43.8899120514,-0.5055687567,Low,3
2022-01-15,44.8532842448,-0.5785349867,Low,4
2022-05-01,48.8647646698,2.3985897131,High,1
2022-06-01,48.6981967741,,Low,3
2022-01-15,43.7072920252,7.2515229727,Low,3
2022-01-15,50.5314803688,2.6390732864,Medium,4
2022-01-15,-22.2635962764,166.4547407417,Low,3
2022-01-01,47.6582459188,6.8491442786,High,5
2022-01-01,47.6582459188,6.8491442786,High,1
2022-01-01,47.6582459188,6.8491442786,Low,4
2022-01-01,47.6582459188,6.8491442786,Low,2
2022-01-01,48.9312209168,2.3056745971,Low,5
2022-06-01,4.9376278713,-52.3281243541,Medium,4
2022-06-01,48.9143881361,2.5269349394,Low,3
2022-01-01,48.8716143573,2.2991994205,Medium,1
2022-01-01,48.8716143573,2.2991994205,Low,2
2022-04-01,43.5478192353,6.9808520703,Low,3
2022-01-15,43.7103987058,-1.0541252079,Low,4
2022-04-01,50.7298851361,3.1517423899,Low,2
2022-04-01,50.7298851361,3.1517423899,Low,2
2022-04-01,50.7298851361,3.1517423899,Low,2
2022-04-01,50.7298851361,3.1517423899,Low,1
2022-04-01,50.7298851361,3.1517423899,Low,3
2022-04-01,50.7298851361,,Low,1
2022-04-01,50.7293993205,3.1515870435,Low,1
2022-04-01,50.7293993205,3.1515870435,Medium,2
2022-04-01,50.7293993205,3.1515870435,Low,3
2022-06-01,45.5854963702,,Low,2
2022-06-01,50.0996047128,1.85907939,High,1
2022-02-01,48.7890873918,2.3882873919,High,5
2022-01-15,47.9907894635,2.7106189429,,4
2022-04-01,48.9235079023,2.2076419528,Low,2
2022-01-01,48.8121497069,2.3569866812,Medium,4
2022-01-15,48.7160062468,2.5859093655,Medium,3
2022-01-15,48.7160062468,2.5859093655,Low,1
2022-04-01,43.5703494139,3.9052598482,Low,1
2022-04-01,43.5703494139,3.9052598482,High,3
2022-06-01,47.2279963382,-1.5512317991,Medium,1
2022-06-01,50.6281966892,3.068807418,Low,3
2022-06-01,45.7219379524,4.9343638375,Medium,3
2022-04-01,,4.7645271723,Low,3
2022-04-01,45.5848971306,4.7645271723,Low,1
2022-03-01,50.2786273757,3.9738064142,Low,2
2022-03-01,43.2933679801,,Medium,4
2022-04-01,48.1275189377,-1.6645052839,Medium,5
2022-04-01,48.7227236943,2.5332596142,Medium,4
2022-06-01,43.3875018103,5.1693481114,Low,2
2022-04-01,48.9714430647,2.4002621736,Medium,5
2022-04-01,48.9714430647,2.4002621736,,4
2022-04-01,48.9714430647,2.4002621736,Low,2
2022-04-01,43.3108319218,5.3963114395,High,5
2022-05-01,50.5081558245,2.831577108,Low,1
2022-03-01,49.0064978927,1.1625985104,Low,3
2022-03-01,49.0064978927,1.1625985104,Medium,3
2022-05-01,44.8292539475,-0.5655619921,Low,2
2022-05-01,48.8548897272,2.6755694027,Low,4
2022-06-01,43.4614324747,4.9471829958,Low,4
2022-04-01,49.4167588031,1.0632773391,High,5
2022-04-01,49.4167588031,1.0632773391,Medium,2
2022-01-14,50.6752217587,3.1800591868,Medium,1
2022-03-01,48.5307336509,2.5423327043,Low,5
2022-05-01,48.5729211396,7.7280549641,Low,5
2022-06-01,50.6281966892,3.068807418,Low,4
2022-05-01,45.026588715,-0.8051453003,Medium,5
2022-05-01,45.026588715,-0.8051453003,Low,2
2022-03-01,48.8554184156,2.4988800452,Low,2
2022-03-01,48.6539436581,2.3864024082,Low,3
2022-05-01,44.1026474821,4.6511124612,Low,1
2022-01-01,49.0369482077,2.1109925121,Low,5
2022-06-01,43.7333222748,7.2890526726,Medium,5
2022-04-01,47.8868793034,1.841740795,High,3
2022-05-01,43.3867543485,5.1617402044,Low,4
2022-05-01,47.2134694114,-1.5575064733,Medium,4
2022-05-01,47.2134694114,-1.5575064733,Medium,1
2022-04-01,43.2804476909,5.4082161772,Low,2
2022-03-01,43.9269509413,4.8122863071,Medium,3
2022-06-01,48.960534936,2.5563645273,Low,1
2022-11-01,48.8683563919,2.3567017889,High,5
2022-05-01,48.8228652107,2.4719450867,Low,1
2022-05-01,47.7547603862,7.3468234277,Low,5
2022-04-01,48.8921990519,2.4083591751,Medium,3
2022-08-01,45.7766774026,3.0772188891,Low,4
2022-08-01,45.7766774026,3.0772188891,Low,2
2022-08-01,45.7766774026,3.0772188891,High,4
2022-08-01,45.7766774026,3.0772188891,High,1
2022-08-01,45.7766774026,3.0772188891,High,3
2022-08-01,45.7766774026,3.0772188891,Low,1
2022-08-01,45.7766774026,3.0772188891,Low,4
2022-08-01,45.7766774026,3.0772188891,Low,1
2022-08-01,45.7766774026,3.0772188891,High,3
2022-08-01,45.7766774026,3.0772188891,Low,5
2022-08-01,45.7766774026,3.0772188891,High,4
2022-08-01,45.7766774026,3.0772188891,Low,3
2022-08-01,45.7914693441,3.1116917506,High,4
2022-08-01,45.7914693441,3.1116917506,High,2
2022-08-01,45.7914693441,3.1116917506,Low,3
2022-08-01,45.7914693441,3.1116917506,Low,2
2022-08-01,45.7914693441,3.1116917506,High,1
2022-08-01,45.7914693441,3.1116917506,Low,3
2022-01-15,44.8311915642,-0.5721866324,Medium,3
2022-01-15,45.7770599025,4.798634698,High,5
2022-01-01,48.8556413262,2.3483817285,High,5
2022-06-01,49.0039693233,2.516376269,Low,3
2022-12-01,47.2122704805,-1.5930825369,Low,2
2022-05-01,48.8289616352,2.3457734998,High,3
2022-06-01,48.8381055226,2.4845671561,Low,2
2022-03-01,48.8407893812,2.3887417151,Medium,1
2022-03-01,48.7519084493,2.3248207418,Low,3
2022-01-01,48.8303399457,2.0032765355,High,3
2022-01-15,48.898841711,2.342328596,Low,5
2022-04-01,50.3854061567,3.0522449422,High,5
2022-01-15,45.7594360797,4.8548923082,Medium,1
2022-03-01,48.8653185115,2.2751176259,Medium,4
2022-03-01,48.8653185115,2.2751176259,Medium,2
2022-05-01,43.5276700879,5.4451409491,Low,4
2022-05-01,43.5276700879,5.4451409491,Low,1
2022-05-01,45.7772359901,3.082174555,Medium,2
2022-04-01,47.2181067144,-1.553062267,Low,1
2022-04-01,49.9308305043,1.0850347434,Medium,4
2022-04-01,43.3456973684,5.4616286235,Low,3
2022-01-14,43.3254584142,5.4324580524,Medium,1
2022-01-14,,5.3769470907,High,1
2022-04-01,-21.2882097159,55.5069505347,Low,2
2022-01-15,49.2633570015,2.4691917341,Medium,1
2022-06-01,48.6999237417,2.4377881922,High,1
2022-06-01,48.6999237417,2.4377881922,Low,1
2022-06-01,48.6999237417,2.4377881922,Medium,2
2022-03-01,4.9417330725,-52.320889482,High,2
2022-03-01,4.9417330725,-52.320889482,Medium,2
2022-04-01,48.0826564235,5.1511995606,Low,1
2022-06-01,47.3875754685,0.6837191575,Medium,1
2022-04-01,45.7766774026,3.0772188891,Medium,1
2022-04-01,44.8417380729,-0.6511093276,Low,4
2022-01-15,43.1162240037,5.9898496556,Medium,3
2022-01-15,45.715209626,5.1273591874,Low,3
2022-05-01,49.4401369811,1.0893987644,Low,5
2022-05-01,49.4401369811,1.0893987644,Low,3
2022-05-01,49.4401369811,1.0893987644,Medium,4
